ip,rid,age_bin,gender,marital,income_bin,state,own_dog,dog_or_cat,adopt_or_shop,dog_size,msg_treat_ind,shelter_treat_bin,duration,dog_num,rating,shelter_tp
73.125.186.114,917053,2,1,2,2,9,2,1,0,1,1,1,83,1,6,2
73.125.186.114,917053,2,1,2,2,9,2,1,0,1,1,1,83,2,7,2
73.125.186.114,917053,2,1,2,2,9,2,1,0,1,1,1,83,3,9,2
73.125.186.114,917053,2,1,2,2,9,2,1,0,1,1,1,83,4,6,1
208.218.229.157,164801,5,1,0,1,34,2,1,1,0,0,0,201,1,8,0
208.218.229.157,164801,5,1,0,1,34,2,1,1,0,0,0,201,2,6,0
208.218.229.157,164801,5,1,0,1,34,2,1,1,0,0,0,201,3,9,0
208.218.229.157,164801,5,1,0,1,34,2,1,1,0,0,0,201,4,3,0
76.25.67.198,688994,3,1,2,1,5,0,0,0,0,0,0,83,1,3,0
76.25.67.198,688994,3,1,2,1,5,0,0,0,0,0,0,83,2,8,0
76.25.67.198,688994,3,1,2,1,5,0,0,0,0,0,0,83,3,6,0
76.25.67.198,688994,3,1,2,1,5,0,0,0,0,0,0,83,4,4,0
208.221.42.231,879061,2,0,0,1,15,2,1,1,1,1,1,96,1,7,2
208.221.42.231,879061,2,0,0,1,15,2,1,1,1,1,1,96,2,6,2
208.221.42.231,879061,2,0,0,1,15,2,1,1,1,1,1,96,3,7,2
208.221.42.231,879061,2,0,0,1,15,2,1,1,1,1,1,96,4,5,1
208.195.165.233,867813,2,1,0,2,6,2,1,1,1,1,0,137,1,7,0
208.195.165.233,867813,2,1,0,2,6,2,1,1,1,1,0,137,2,6,0
208.195.165.233,867813,2,1,0,2,6,2,1,1,1,1,0,137,3,8,0
208.195.165.233,867813,2,1,0,2,6,2,1,1,1,1,0,137,4,6,0
144.172.114.204,587721,2,1,0,2,35,2,1,1,1,0,1,161,1,4,2
144.172.114.204,587721,2,1,0,2,35,2,1,1,1,0,1,161,2,6,2
144.172.114.204,587721,2,1,0,2,35,2,1,1,1,0,1,161,3,5,1
144.172.114.204,587721,2,1,0,2,35,2,1,1,1,0,1,161,4,7,1
208.194.206.141,423595,4,1,0,3,2,2,1,0,1,0,0,191,1,5,0
208.194.206.141,423595,4,1,0,3,2,2,1,0,1,0,0,191,2,8,0
208.194.206.141,423595,4,1,0,3,2,2,1,0,1,0,0,191,3,7,0
208.194.206.141,423595,4,1,0,3,2,2,1,0,1,0,0,191,4,7,0
209.185.41.164,738916,4,1,0,1,34,2,1,0,1,1,1,166,1,7,2
209.185.41.164,738916,4,1,0,1,34,2,1,0,1,1,1,166,2,4,2
209.185.41.164,738916,4,1,0,1,34,2,1,0,1,1,1,166,3,7,1
209.185.41.164,738916,4,1,0,1,34,2,1,0,1,1,1,166,4,6,1
136.175.103.93,511120,3,1,0,3,1,2,1,1,1,1,1,224,1,6,1
136.175.103.93,511120,3,1,0,3,1,2,1,1,1,1,1,224,2,7,2
136.175.103.93,511120,3,1,0,3,1,2,1,1,1,1,1,224,3,5,1
136.175.103.93,511120,3,1,0,3,1,2,1,1,1,1,1,224,4,7,2
163.123.220.211,312205,6,1,0,2,19,2,1,0,0,0,0,194,1,6,0
163.123.220.211,312205,6,1,0,2,19,2,1,0,0,0,0,194,2,7,0
163.123.220.211,312205,6,1,0,2,19,2,1,0,0,0,0,194,3,7,0
163.123.220.211,312205,6,1,0,2,19,2,1,0,0,0,0,194,4,6,0
97.71.158.165,231822,3,0,0,2,9,2,0,0,0,0,1,124,1,10,1
97.71.158.165,231822,3,0,0,2,9,2,0,0,0,0,1,124,2,10,1
97.71.158.165,231822,3,0,0,2,9,2,0,0,0,0,1,124,3,10,1
97.71.158.165,231822,3,0,0,2,9,2,0,0,0,0,1,124,4,10,1
208.194.223.236,899302,2,1,2,2,46,2,1,0,0,0,1,145,1,8,1
208.194.223.236,899302,2,1,2,2,46,2,1,0,0,0,1,145,2,6,1
208.194.223.236,899302,2,1,2,2,46,2,1,0,0,0,1,145,3,4,2
208.194.223.236,899302,2,1,2,2,46,2,1,0,0,0,1,145,4,7,1
207.148.0.67,741855,2,1,0,1,33,2,1,0,0,1,1,147,1,5,1
207.148.0.67,741855,2,1,0,1,33,2,1,0,0,1,1,147,2,5,1
207.148.0.67,741855,2,1,0,1,33,2,1,0,0,1,1,147,3,4,1
207.148.0.67,741855,2,1,0,1,33,2,1,0,0,1,1,147,4,5,1
73.63.95.29,589615,3,0,0,4,44,2,0,0,1,0,0,90,1,1,0
73.63.95.29,589615,3,0,0,4,44,2,0,0,1,0,0,90,2,1,0
73.63.95.29,589615,3,0,0,4,44,2,0,0,1,0,0,90,3,6,0
73.63.95.29,589615,3,0,0,4,44,2,0,0,1,0,0,90,4,1,0
208.221.44.220,422506,2,1,0,1,4,2,1,0,0,1,0,130,1,10,0
208.221.44.220,422506,2,1,0,1,4,2,1,0,0,1,0,130,2,10,0
208.221.44.220,422506,2,1,0,1,4,2,1,0,0,1,0,130,3,10,0
208.221.44.220,422506,2,1,0,1,4,2,1,0,0,1,0,130,4,10,0
47.212.86.63,570351,3,1,0,1,3,2,2,0,1,1,0,126,1,1,0
47.212.86.63,570351,3,1,0,1,3,2,2,0,1,1,0,126,2,1,0
47.212.86.63,570351,3,1,0,1,3,2,2,0,1,1,0,126,3,5,0
47.212.86.63,570351,3,1,0,1,3,2,2,0,1,1,0,126,4,1,0
73.183.100.91,499797,2,1,0,1,48,2,1,0,1,1,1,178,1,4,2
73.183.100.91,499797,2,1,0,1,48,2,1,0,1,1,1,178,2,4,1
73.183.100.91,499797,2,1,0,1,48,2,1,0,1,1,1,178,3,3,2
73.183.100.91,499797,2,1,0,1,48,2,1,0,1,1,1,178,4,4,2
147.124.220.167,775058,1,1,2,2,5,2,1,1,0,0,0,171,1,4,0
147.124.220.167,775058,1,1,2,2,5,2,1,1,0,0,0,171,2,9,0
147.124.220.167,775058,1,1,2,2,5,2,1,1,0,0,0,171,3,7,0
147.124.220.167,775058,1,1,2,2,5,2,1,1,0,0,0,171,4,3,0
149.46.192.157,180910,2,1,0,3,33,2,1,1,1,0,1,229,1,5,1
149.46.192.157,180910,2,1,0,3,33,2,1,1,1,0,1,229,2,4,1
149.46.192.157,180910,2,1,0,3,33,2,1,1,1,0,1,229,3,6,2
149.46.192.157,180910,2,1,0,3,33,2,1,1,1,0,1,229,4,10,1
163.123.220.186,691536,3,1,0,2,47,2,1,0,1,1,0,200,1,5,0
163.123.220.186,691536,3,1,0,2,47,2,1,0,1,1,0,200,2,5,0
163.123.220.186,691536,3,1,0,2,47,2,1,0,1,1,0,200,3,3,0
163.123.220.186,691536,3,1,0,2,47,2,1,0,1,1,0,200,4,4,0
149.46.192.78,740083,3,1,0,2,9,2,1,1,0,0,1,197,1,9,2
149.46.192.78,740083,3,1,0,2,9,2,1,1,0,0,1,197,2,10,2
149.46.192.78,740083,3,1,0,2,9,2,1,1,0,0,1,197,3,7,2
149.46.192.78,740083,3,1,0,2,9,2,1,1,0,0,1,197,4,10,2
163.123.220.162,703006,5,1,0,2,9,2,1,0,1,0,0,217,1,5,0
163.123.220.162,703006,5,1,0,2,9,2,1,0,1,0,0,217,2,5,0
163.123.220.162,703006,5,1,0,2,9,2,1,0,1,0,0,217,3,7,0
163.123.220.162,703006,5,1,0,2,9,2,1,0,1,0,0,217,4,6,0
104.171.171.170,677816,3,1,0,1,9,2,1,1,0,0,1,217,1,7,1
104.171.171.170,677816,3,1,0,1,9,2,1,1,0,0,1,217,2,3,2
104.171.171.170,677816,3,1,0,1,9,2,1,1,0,0,1,217,3,4,1
104.171.171.170,677816,3,1,0,1,9,2,1,1,0,0,1,217,4,5,2
128.254.167.18,269954,3,0,0,3,15,2,1,0,0,1,1,244,1,5,2
128.254.167.18,269954,3,0,0,3,15,2,1,0,0,1,1,244,2,8,1
128.254.167.18,269954,3,0,0,3,15,2,1,0,0,1,1,244,3,8,1
128.254.167.18,269954,3,0,0,3,15,2,1,0,0,1,1,244,4,9,1
73.141.87.2,419685,2,0,2,0,38,0,1,0,0,1,1,156,1,10,1
73.141.87.2,419685,2,0,2,0,38,0,1,0,0,1,1,156,2,9,1
73.141.87.2,419685,2,0,2,0,38,0,1,0,0,1,1,156,3,8,2
73.141.87.2,419685,2,0,2,0,38,0,1,0,0,1,1,156,4,6,1
208.218.231.26,719037,3,0,0,2,19,2,1,1,1,0,0,198,1,9,0
208.218.231.26,719037,3,0,0,2,19,2,1,1,1,0,0,198,2,6,0
208.218.231.26,719037,3,0,0,2,19,2,1,1,1,0,0,198,3,7,0
208.218.231.26,719037,3,0,0,2,19,2,1,1,1,0,0,198,4,2,0
66.207.178.47,701215,2,0,2,2,34,2,1,0,0,0,1,178,1,5,1
66.207.178.47,701215,2,0,2,2,34,2,1,0,0,0,1,178,2,7,2
66.207.178.47,701215,2,0,2,2,34,2,1,0,0,0,1,178,3,7,1
66.207.178.47,701215,2,0,2,2,34,2,1,0,0,0,1,178,4,8,2
73.44.86.194,492640,3,1,0,2,38,2,1,0,1,1,0,145,1,9,0
73.44.86.194,492640,3,1,0,2,38,2,1,0,1,1,0,145,2,5,0
73.44.86.194,492640,3,1,0,2,38,2,1,0,1,1,0,145,3,3,0
73.44.86.194,492640,3,1,0,2,38,2,1,0,1,1,0,145,4,8,0
208.221.46.67,246216,2,0,0,1,48,2,1,0,1,0,1,205,1,6,1
208.221.46.67,246216,2,0,0,1,48,2,1,0,1,0,1,205,2,4,2
208.221.46.67,246216,2,0,0,1,48,2,1,0,1,0,1,205,3,7,2
208.221.46.67,246216,2,0,0,1,48,2,1,0,1,0,1,205,4,8,1
73.237.103.81,205788,3,0,0,2,10,2,1,1,0,0,0,79,1,10,0
73.237.103.81,205788,3,0,0,2,10,2,1,1,0,0,0,79,2,7,0
73.237.103.81,205788,3,0,0,2,10,2,1,1,0,0,0,79,3,10,0
73.237.103.81,205788,3,0,0,2,10,2,1,1,0,0,0,79,4,2,0
74.122.56.48,472144,1,1,0,1,4,2,1,0,1,0,1,158,1,9,1
74.122.56.48,472144,1,1,0,1,4,2,1,0,1,0,1,158,2,10,1
74.122.56.48,472144,1,1,0,1,4,2,1,0,1,0,1,158,3,10,2
74.122.56.48,472144,1,1,0,1,4,2,1,0,1,0,1,158,4,10,1
104.37.174.47,291893,4,1,0,1,15,2,1,0,1,1,1,158,1,6,1
104.37.174.47,291893,4,1,0,1,15,2,1,0,1,1,1,158,2,8,2
104.37.174.47,291893,4,1,0,1,15,2,1,0,1,1,1,158,3,9,1
104.37.174.47,291893,4,1,0,1,15,2,1,0,1,1,1,158,4,5,2
128.254.167.20,518060,3,0,0,1,15,2,1,1,1,1,1,265,1,5,2
128.254.167.20,518060,3,0,0,1,15,2,1,1,1,1,1,265,2,6,1
128.254.167.20,518060,3,0,0,1,15,2,1,1,1,1,1,265,3,6,2
128.254.167.20,518060,3,0,0,1,15,2,1,1,1,1,1,265,4,7,1
128.254.167.17,425476,1,1,0,1,43,2,1,1,0,1,1,137,1,8,1
128.254.167.17,425476,1,1,0,1,43,2,1,1,0,1,1,137,2,4,1
128.254.167.17,425476,1,1,0,1,43,2,1,1,0,1,1,137,3,2,2
128.254.167.17,425476,1,1,0,1,43,2,1,1,0,1,1,137,4,3,1
192.30.240.104,196829,2,1,0,2,35,2,1,1,1,0,1,209,1,3,1
192.30.240.104,196829,2,1,0,2,35,2,1,1,1,0,1,209,2,2,2
192.30.240.104,196829,2,1,0,2,35,2,1,1,1,0,1,209,3,5,1
192.30.240.104,196829,2,1,0,2,35,2,1,1,1,0,1,209,4,4,2
104.171.169.65,270857,1,1,0,3,3,2,2,1,1,0,1,81,1,6,2
104.171.169.65,270857,1,1,0,3,3,2,2,1,1,0,1,81,2,7,2
104.171.169.65,270857,1,1,0,3,3,2,2,1,1,0,1,81,3,4,2
104.171.169.65,270857,1,1,0,3,3,2,2,1,1,0,1,81,4,6,2
208.218.225.77,445412,3,0,0,3,38,2,1,0,1,0,1,205,1,5,2
208.218.225.77,445412,3,0,0,3,38,2,1,0,1,0,1,205,2,8,2
208.218.225.77,445412,3,0,0,3,38,2,1,0,1,0,1,205,3,10,2
208.218.225.77,445412,3,0,0,3,38,2,1,0,1,0,1,205,4,8,1
163.123.220.210,955191,5,1,0,2,40,2,1,1,0,1,0,244,1,5,0
163.123.220.210,955191,5,1,0,2,40,2,1,1,0,1,0,244,2,6,0
163.123.220.210,955191,5,1,0,2,40,2,1,1,0,1,0,244,3,6,0
163.123.220.210,955191,5,1,0,2,40,2,1,1,0,1,0,244,4,6,0
208.195.164.220,936975,2,1,0,2,15,2,1,1,1,1,0,182,1,7,0
208.195.164.220,936975,2,1,0,2,15,2,1,1,1,1,0,182,2,6,0
208.195.164.220,936975,2,1,0,2,15,2,1,1,1,1,0,182,3,7,0
208.195.164.220,936975,2,1,0,2,15,2,1,1,1,1,0,182,4,7,0
174.34.214.94,742447,2,1,0,2,4,2,1,0,0,1,0,170,1,6,0
174.34.214.94,742447,2,1,0,2,4,2,1,0,0,1,0,170,2,9,0
174.34.214.94,742447,2,1,0,2,4,2,1,0,0,1,0,170,3,3,0
174.34.214.94,742447,2,1,0,2,4,2,1,0,0,1,0,170,4,4,0
208.218.228.215,807987,1,1,2,3,46,2,1,1,0,0,0,167,1,2,0
208.218.228.215,807987,1,1,2,3,46,2,1,1,0,0,0,167,2,1,0
208.218.228.215,807987,1,1,2,3,46,2,1,1,0,0,0,167,3,1,0
208.218.228.215,807987,1,1,2,3,46,2,1,1,0,0,0,167,4,2,0
172.84.188.147,102691,2,1,0,2,9,2,1,0,1,0,1,162,1,6,1
172.84.188.147,102691,2,1,0,2,9,2,1,0,1,0,1,162,2,7,1
172.84.188.147,102691,2,1,0,2,9,2,1,0,1,0,1,162,3,9,2
172.84.188.147,102691,2,1,0,2,9,2,1,0,1,0,1,162,4,9,1
98.202.42.240,682826,2,1,2,1,44,2,1,0,1,1,0,78,1,2,0
98.202.42.240,682826,2,1,2,1,44,2,1,0,1,1,0,78,2,1,0
98.202.42.240,682826,2,1,2,1,44,2,1,0,1,1,0,78,3,5,0
98.202.42.240,682826,2,1,2,1,44,2,1,0,1,1,0,78,4,1,0
149.46.136.22,231089,4,1,0,1,4,2,1,0,0,1,1,180,1,5,1
149.46.136.22,231089,4,1,0,1,4,2,1,0,0,1,1,180,2,5,2
149.46.136.22,231089,4,1,0,1,4,2,1,0,0,1,1,180,3,7,2
149.46.136.22,231089,4,1,0,1,4,2,1,0,0,1,1,180,4,4,1
117.201.30.87,395017,2,1,2,2,4,2,1,0,1,0,1,123,1,6,1
117.201.30.87,395017,2,1,2,2,4,2,1,0,1,0,1,123,2,5,1
117.201.30.87,395017,2,1,2,2,4,2,1,0,1,0,1,123,3,8,2
117.201.30.87,395017,2,1,2,2,4,2,1,0,1,0,1,123,4,3,1
149.46.193.129,351429,2,1,0,3,43,2,1,1,1,0,0,247,1,8,0
149.46.193.129,351429,2,1,0,3,43,2,1,1,1,0,0,247,2,5,0
149.46.193.129,351429,2,1,0,3,43,2,1,1,1,0,0,247,3,6,0
149.46.193.129,351429,2,1,0,3,43,2,1,1,1,0,0,247,4,5,0
208.221.46.63,569298,2,0,0,1,10,2,2,1,1,0,0,184,1,6,0
208.221.46.63,569298,2,0,0,1,10,2,2,1,1,0,0,184,2,8,0
208.221.46.63,569298,2,0,0,1,10,2,2,1,1,0,0,184,3,7,0
208.221.46.63,569298,2,0,0,1,10,2,2,1,1,0,0,184,4,10,0
209.185.41.117,556848,3,0,0,1,34,2,1,0,0,0,1,212,1,4,2
209.185.41.117,556848,3,0,0,1,34,2,1,0,0,0,1,212,2,7,2
209.185.41.117,556848,3,0,0,1,34,2,1,0,0,0,1,212,3,5,2
209.185.41.117,556848,3,0,0,1,34,2,1,0,0,0,1,212,4,5,1
147.124.220.160,882187,4,1,0,3,4,2,1,0,0,0,0,234,1,6,0
147.124.220.160,882187,4,1,0,3,4,2,1,0,0,0,0,234,2,4,0
147.124.220.160,882187,4,1,0,3,4,2,1,0,0,0,0,234,3,4,0
147.124.220.160,882187,4,1,0,3,4,2,1,0,0,0,0,234,4,4,0
128.254.166.130,596706,3,1,0,3,1,2,1,1,1,1,0,68,1,6,0
128.254.166.130,596706,3,1,0,3,1,2,1,1,1,1,0,68,2,5,0
128.254.166.130,596706,3,1,0,3,1,2,1,1,1,1,0,68,3,5,0
128.254.166.130,596706,3,1,0,3,1,2,1,1,1,1,0,68,4,6,0
67.212.107.127,145170,3,1,0,4,16,2,1,0,1,1,0,182,1,3,0
67.212.107.127,145170,3,1,0,4,16,2,1,0,1,1,0,182,2,1,0
67.212.107.127,145170,3,1,0,4,16,2,1,0,1,1,0,182,3,9,0
67.212.107.127,145170,3,1,0,4,16,2,1,0,1,1,0,182,4,1,0
128.254.166.117,971433,1,1,0,1,15,2,1,0,1,1,1,154,1,4,2
128.254.166.117,971433,1,1,0,1,15,2,1,0,1,1,1,154,2,4,2
128.254.166.117,971433,1,1,0,1,15,2,1,0,1,1,1,154,3,1,2
128.254.166.117,971433,1,1,0,1,15,2,1,0,1,1,1,154,4,3,2
149.46.193.215,445979,2,0,0,1,10,2,1,0,0,1,0,177,1,6,0
149.46.193.215,445979,2,0,0,1,10,2,1,0,0,1,0,177,2,5,0
149.46.193.215,445979,2,0,0,1,10,2,1,0,0,1,0,177,3,8,0
149.46.193.215,445979,2,0,0,1,10,2,1,0,0,1,0,177,4,8,0
147.124.220.136,242025,2,1,0,1,21,2,1,0,1,1,1,159,1,5,1
147.124.220.136,242025,2,1,0,1,21,2,1,0,1,1,1,159,2,6,1
147.124.220.136,242025,2,1,0,1,21,2,1,0,1,1,1,159,3,5,2
147.124.220.136,242025,2,1,0,1,21,2,1,0,1,1,1,159,4,6,2
209.185.41.134,273857,3,1,0,1,34,2,1,0,1,1,0,125,1,4,0
209.185.41.134,273857,3,1,0,1,34,2,1,0,1,1,0,125,2,6,0
209.185.41.134,273857,3,1,0,1,34,2,1,0,1,1,0,125,3,6,0
209.185.41.134,273857,3,1,0,1,34,2,1,0,1,1,0,125,4,7,0
202.182.69.185,251257,3,0,0,4,26,2,1,0,0,1,0,300,1,8,0
202.182.69.185,251257,3,0,0,4,26,2,1,0,0,1,0,300,2,10,0
202.182.69.185,251257,3,0,0,4,26,2,1,0,0,1,0,300,3,10,0
202.182.69.185,251257,3,0,0,4,26,2,1,0,0,1,0,300,4,10,0
136.175.102.2,882591,2,1,2,2,9,2,1,0,1,0,0,205,1,7,0
136.175.102.2,882591,2,1,2,2,9,2,1,0,1,0,0,205,2,8,0
136.175.102.2,882591,2,1,2,2,9,2,1,0,1,0,0,205,3,7,0
136.175.102.2,882591,2,1,2,2,9,2,1,0,1,0,0,205,4,8,0
107.161.115.254,561107,2,1,0,2,0,2,1,1,1,0,0,200,1,7,0
107.161.115.254,561107,2,1,0,2,0,2,1,1,1,0,0,200,2,6,0
107.161.115.254,561107,2,1,0,2,0,2,1,1,1,0,0,200,3,5,0
107.161.115.254,561107,2,1,0,2,0,2,1,1,1,0,0,200,4,7,0
155.193.133.102,587911,6,1,0,1,9,2,1,1,1,1,0,152,1,5,0
155.193.133.102,587911,6,1,0,1,9,2,1,1,1,1,0,152,2,7,0
155.193.133.102,587911,6,1,0,1,9,2,1,1,1,1,0,152,3,5,0
155.193.133.102,587911,6,1,0,1,9,2,1,1,1,1,0,152,4,8,0
185.196.24.248,191310,0,1,0,3,35,2,1,0,1,0,0,200,1,4,0
185.196.24.248,191310,0,1,0,3,35,2,1,0,1,0,0,200,2,7,0
185.196.24.248,191310,0,1,0,3,35,2,1,0,1,0,0,200,3,5,0
185.196.24.248,191310,0,1,0,3,35,2,1,0,1,0,0,200,4,7,0
163.123.220.156,856465,3,0,0,2,47,2,1,1,0,0,0,276,1,5,0
163.123.220.156,856465,3,0,0,2,47,2,1,1,0,0,0,276,2,6,0
163.123.220.156,856465,3,0,0,2,47,2,1,1,0,0,0,276,3,9,0
163.123.220.156,856465,3,0,0,2,47,2,1,1,0,0,0,276,4,7,0
73.0.155.123,326337,2,0,0,0,9,2,1,0,0,1,1,148,1,10,2
73.0.155.123,326337,2,0,0,0,9,2,1,0,0,1,1,148,2,10,2
73.0.155.123,326337,2,0,0,0,9,2,1,0,0,1,1,148,3,10,2
73.0.155.123,326337,2,0,0,0,9,2,1,0,0,1,1,148,4,10,2
208.194.199.189,543090,2,0,2,2,46,2,1,0,1,0,1,81,1,8,1
208.194.199.189,543090,2,0,2,2,46,2,1,0,1,0,1,81,2,3,1
208.194.199.189,543090,2,0,2,2,46,2,1,0,1,0,1,81,3,9,2
208.194.199.189,543090,2,0,2,2,46,2,1,0,1,0,1,81,4,4,1
208.207.190.111,435185,3,1,0,1,4,2,1,1,1,0,1,194,1,7,2
208.207.190.111,435185,3,1,0,1,4,2,1,1,1,0,1,194,2,7,1
208.207.190.111,435185,3,1,0,1,4,2,1,1,1,0,1,194,3,10,2
208.207.190.111,435185,3,1,0,1,4,2,1,1,1,0,1,194,4,10,2
66.207.176.36,895353,6,0,0,1,45,2,1,1,1,0,1,224,1,8,2
66.207.176.36,895353,6,0,0,1,45,2,1,1,1,0,1,224,2,4,2
66.207.176.36,895353,6,0,0,1,45,2,1,1,1,0,1,224,3,6,2
66.207.176.36,895353,6,0,0,1,45,2,1,1,1,0,1,224,4,7,1
216.39.37.12,849901,1,1,0,1,43,2,1,0,2,1,0,92,1,4,0
216.39.37.12,849901,1,1,0,1,43,2,1,0,2,1,0,92,2,6,0
216.39.37.12,849901,1,1,0,1,43,2,1,0,2,1,0,92,3,7,0
216.39.37.12,849901,1,1,0,1,43,2,1,0,2,1,0,92,4,8,0
216.250.252.206,201991,2,1,2,1,49,2,1,1,1,0,0,75,1,7,0
