StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q2,Q27,Q28,Q3,Q4,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,Q7,Q8,Q9,Q10,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q25_0_GROUP,Q25_1_GROUP,Q25_0_1_RANK,Q25_0_3_RANK,Q25_0_12_RANK,Q25_0_16_RANK,Q25_1_1_RANK,Q25_1_3_RANK,Q25_1_12_RANK,Q25_1_16_RANK,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q29_0_GROUP,Q29_1_GROUP,Q29_2_GROUP,Q29_0_1_RANK,Q29_0_2_RANK,Q29_0_3_RANK,Q29_0_4_RANK,Q29_0_5_RANK,Q29_0_6_RANK,Q29_1_1_RANK,Q29_1_2_RANK,Q29_1_3_RANK,Q29_1_4_RANK,Q29_1_5_RANK,Q29_1_6_RANK,Q29_2_1_RANK,Q29_2_2_RANK,Q29_2_3_RANK,Q29_2_4_RANK,Q29_2_5_RANK,Q29_2_6_RANK,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q74_1,Q74_2,Q74_3,Q74_4,Q75_1,Q75_2,Q75_3,Q75_4,Q76_1,Q76_2,Q76_3,Q76_4,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Small_1,Small_2,Small_3,Small_4,Medium_1,Medium_2,Medium_3,Medium_4,Large_1,Large_2,Large_3,Large_4,Q26,Random ID,Message_Received,Shelter_Information,Shelter_Type_1,Shelter_Type_2,Shelter_Type_3,Shelter_Type_4
11/22/22 11:25,11/22/22 11:28,IP Address,173.61.100.107,100,141,TRUE,11/22/22 11:28,R_3svpKQ31aME6mPx,,,,,39.3762,-75.1617,anonymous,EN,1,,0,0,,1.669,10.492,11.417,9,35-44 years old,Male,Single,"$150,000 or more",New York,3.871,12.902,13.773,6,No,Dogs,I will adopt a dog,Large (Greater than 60 lbs.),,,,,,,,,,,,,,,1.632,67.682,68.519,3,"French BullDog,Beagle","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",1,,,,2,,,1,,2,,,,,1,,,2,7.419,29.483,31.001,12,,,,,,,,,10 (high),10 (high),5,9,,,,,,,,,,,,,,,,,299415,299415,No,No,No-Kill Shelter,Traditional Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,192.126.251.177,100,122,TRUE,11/22/22 11:28,R_2X0D0Oeru2OSj35,,,,,47.63,-122.2972,anonymous,EN,0.800000012,,0,105,,1.486,11.322,12.247,6,18-24 years old,Male,Married,"$75,000-$99,999",Virginia,1.519,9.634,10.175,5,Yes,Neither dogs nor cats,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,10.12,10.12,61.233,1,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","Labrador Retriever,German Shepherd",2,,,,1,,,2,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,2.145,12.761,13.574,8,,,,,4,3,4,5,,,,,950424,950424,No,Yes,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,202.182.69.228,100,145,TRUE,11/22/22 11:28,R_3Lb7dP9E5IcGBoI,,,,,40.7123,-74.0068,anonymous,EN,1,,0,25,,1.202,11.502,12.943,9,25-34 years old,Male,Married,"$50,000-$74,999",Michigan,1.153,7.639,8.356,9,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,1.599,84.121,84.827,13,"Beagle,French BullDog","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",2,,,,1,,,1,,2,,,,,1,,,2,1.196,10.102,11.458,12,,,,,3,5,7,6,,,,,,,,,,,,,,,,,,,,,657456,657456,No,No,Traditional Shelter,No-Kill Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,149.46.192.151,100,160,TRUE,11/22/22 11:28,R_PLPYDZnWTKQiqCR,,,,,40.5237,-74.4151,anonymous,EN,0.899999976,,0,25,,4.118,13.897,15.307,7,45-54 years old,Female,Married,"$75,000-$99,999",Texas,2.074,13.188,14.983,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,0,0,75.081,0,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","German Shepherd,Labrador Retriever",2,,,,1,,,2,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,2.881,25.972,28.207,9,,,,,6,7,8,6,,,,,434384,434384,No,Yes,Traditional Shelter,Traditional Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,104.229.232.9,100,122,TRUE,11/22/22 11:28,R_1OJFX8ijgcj9QoU,,,,,43.0333,-74.9812,anonymous,EN,0.899999976,,0,0,,2.488,16.755,17.795,11,35-44 years old,Male,Married,"$75,000-$99,999",New York,1.568,12.493,13.634,8,No,Cats,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,"Accept and care for all animals
,Consider euthanizing ill or unadoptable animals","Abstain from animal euthanization
,Avoid and transfer responsibility for overcrowding to other shelters
",,1,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.747,33.64,34.867,13,,,,,4,7,4,7,,,,,532955,532955,Yes,Yes,Traditional Shelter,Traditional Shelter,Traditional Shelter,No-Kill Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,45.77.213.229,100,133,TRUE,11/22/22 11:28,R_BJ9XLJ340pObpTz,,,,,47.6144,-122.3447,anonymous,EN,1,,0,25,,6.238,24.82,26.083,7,35-44 years old,Male,Married,"$75,000-$99,999",California,6.623,14.99,16.562,4,Yes,Dogs,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.646,20.062,21.263,12,,,,,6,4,8,8,,,,,290772,290772,Yes,Yes,No-Kill Shelter,No-Kill Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,154.7.226.199,100,154,TRUE,11/22/22 11:28,R_s7PqxTK5JMyyhuF,,,,,47.6034,-122.3414,anonymous,EN,0.899999976,,0,25,,1.236,14.566,15.495,8,25-34 years old,Female,Single,"Less than $25,000",Florida,3.73,14.052,15.588,4,Yes,Dogs,I will shop for a dog,Small (Less than 30 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.564,13.166,15.089,10,7,9,10 (high),7,,,,,,,,,,,,,,,,,,,,,,,,,636519,636519,Yes,No,No-Kill Shelter,Traditional Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,208.221.40.79,100,158,TRUE,11/22/22 11:28,R_1HqU17WdddyGjm6,,,,,39.2151,-76.754,anonymous,EN,1,,0,0,,17.687,34.396,35.783,6,35-44 years old,Male,Married,"$25,000-$49,999",Illinois,3.28,21.114,22.658,5,Yes,Dogs,I will adopt a dog,Small (Less than 30 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.598,16.485,18.334,9,7,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,654034,654034,Yes,No,Traditional Shelter,Traditional Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:27,11/22/22 11:28,IP Address,73.125.186.114,100,83,TRUE,11/22/22 11:28,R_3isR8fcEFMOkuGW,,,,,26.0703,-80.2248,anonymous,EN,1,,0,0,,6.614,13.212,14.289,6,25-34 years old,Male,Single,"$50,000-$74,999",Florida,1.722,6.162,8.035,4,Yes,Dogs,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591,21.31,23.216,16,,,,,6,7,9,6,,,,,917053,917053,Yes,Yes,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,208.218.229.157,100,201,TRUE,11/22/22 11:28,R_3VimKiiS2Czue1b,,,,,32.9569,-96.6746,anonymous,EN,1,,0,0,,15.508,27.995,29.205,6,55-64 years old,Male,Married,"$25,000-$49,999",North Carolina,1.634,10.063,10.6,5,Yes,Dogs,I will shop for a dog,Small (Less than 30 lbs.),,,,,,,,,,,,,,,3.149,97.898,100.173,7,"Beagle,French BullDog","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",2,,,,1,,,1,,2,,,,,1,,,2,0.071,36.636,37.212,15,8,6,9,3,,,,,,,,,,,,,,,,,,,,,,,,,A3J5GX5I5Z0T66,164801,No,No,No-Kill Shelter,Traditional Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:27,11/22/22 11:28,IP Address,76.25.67.198,100,83,TRUE,11/22/22 11:28,R_2rop8GJiPO3HLKR,,,,,39.842,-105.1101,anonymous,EN,1,,0,30,,1.899,13.084,14.85,8,35-44 years old,Male,Single,"$25,000-$49,999",Colorado,3.121,11.345,11.92,4,No,Cats,I will adopt a dog,Small (Less than 30 lbs.),,,,,,,,,,,,,,,0,0,25.156,0,"French BullDog,Beagle","Shetland Sheepdog,Australian Shepherd","German Shepherd,Labrador Retriever",1,,,,2,,,2,,1,,,,,1,,,2,4.977,20.89,21.615,13,3,8,6,4,,,,,,,,,,,,,,,,,,,,,,,,,688994,688994,No,No,Traditional Shelter,Traditional Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:27,11/22/22 11:28,IP Address,208.221.42.231,100,96,TRUE,11/22/22 11:28,R_3JmSFTWR0SdxdtL,,,,,39.1269,-76.698,anonymous,EN,1,,0,0,,2.027,11.683,12.228,7,25-34 years old,Female,Married,"$25,000-$49,999",Indiana,1.296,10.558,11.494,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,12.755,13.94,8,,,,,7,6,7,5,,,,,879061,879061,Yes,Yes,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,208.195.165.233,100,137,TRUE,11/22/22 11:28,R_1gN4GXDfXjpwJRN,,,,,38.7913,-77.2806,anonymous,EN,1,,0,30,,1.839,13.844,14.853,6,25-34 years old,Male,Married,"$50,000-$74,999",Connecticut,21.073,26.401,27.465,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,15.768,16.727,9,,,,,7,6,8,6,,,,,,,,,,,,,,,,,,,,,867813,867813,Yes,No,Traditional Shelter,Traditional Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,144.172.114.204,100,161,TRUE,11/22/22 11:28,R_3Nyerb2caOiyOSE,,,,,41.4951,-81.6939,anonymous,EN,0.899999976,,0,75,,3.101,22.364,23.878,13,25-34 years old,Male,Married,"$50,000-$74,999",Ohio,6.002,16.711,18.144,6,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,15.757,72.389,74.947,10,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","German Shepherd,Labrador Retriever",2,,,,1,,,2,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,6.615,24.641,25.273,14,,,,,4,6,5,7,,,,,AGPGKRQS4YIE9,587721,No,Yes,No-Kill Shelter,No-Kill Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,208.194.206.141,100,191,TRUE,11/22/22 11:28,R_31M1Yw11X2dl9PX,,,,,37.751,-97.822,anonymous,EN,1,,0,0,,2.935,16.071,16.778,6,45-54 years old,Male,Married,"$75,000-$99,999",Arizona,1.383,7.323,8.402,5,Yes,Dogs,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,0,0,123.941,0,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","Labrador Retriever,German Shepherd",2,,,,1,,,2,,1,,,,,2,,,1,2.418,13.605,14.191,8,,,,,5,8,7,7,,,,,,,,,,,,,,,,,,,,,423595,423595,No,No,Traditional Shelter,Traditional Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,209.185.41.164,100,166,TRUE,11/22/22 11:28,R_vOAVMbAcMzJNvcR,,,,,42.4652,-83.3713,anonymous,EN,0.899999976,,0,0,,2.894,15.081,16.295,6,45-54 years old,Male,Married,"$25,000-$49,999",North Carolina,1.541,17.572,18.533,6,Yes,Dogs,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,"Accept and care for all animals
,Consider euthanizing ill or unadoptable animals","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,1,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.799,22.471,23.17,10,,,,,7,4,7,6,,,,,738916,738916,Yes,Yes,No-Kill Shelter,No-Kill Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:28,IP Address,136.175.103.93,100,224,TRUE,11/22/22 11:28,R_1gLqc8Cfi3xfHRm,,,,,37.751,-97.822,anonymous,EN,1,,0,105,,7.708,23.742,24.99,7,35-44 years old,Male,Married,"$75,000-$99,999",Alaska,2.001,11.254,12.279,5,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Abstain from animal euthanization
,Avoid and transfer responsibility for overcrowding to other shelters
",,2,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,8.855,12.48,7,,,,,6,7,5,7,,,,,511120,511120,Yes,Yes,Traditional Shelter,No-Kill Shelter,Traditional Shelter,No-Kill Shelter
11/22/22 11:27,11/22/22 11:28,IP Address,128.254.167.83,100,104,TRUE,11/22/22 11:28,R_3eajiI2FBGGmL2E,,,,,40.0242,-79.8846,anonymous,EN,0.899999976,,0,55,,3.321,18.8,20.438,5,18-24 years old,Female,,"$75,000-$99,999",Texas,2.248,11.567,20.328,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,3.456,3.456,18.059,1,"Beagle,French BullDog","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",2,,,,1,,,1,,2,,,,,1,,,2,,,,,,,,,,,,,,,,,3.29,19.957,20.959,9,,,,,4,6,4,5,,,,,736962,736962,No,Yes,Traditional Shelter,No-Kill Shelter,Traditional Shelter,No-Kill Shelter
11/22/22 11:25,11/22/22 11:29,IP Address,163.123.220.211,100,194,TRUE,11/22/22 11:29,R_1gTMibd1N32XJy6,,,,,30.0409,-95.5302,anonymous,EN,1,,0,25,,4.266,28.58,31.678,8,65+ years old,Male,Married,"$50,000-$74,999",Louisiana,2.03,14.062,16.703,5,Yes,Dogs,I will adopt a dog,Small (Less than 30 lbs.),,,,,,,,,,,,,,,0,0,87.463,0,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","Labrador Retriever,German Shepherd",2,,,,1,,,2,,1,,,,,2,,,1,13.716,23.561,25.116,8,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,312205,312205,No,No,No-Kill Shelter,Traditional Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:26,11/22/22 11:29,IP Address,97.71.158.165,100,124,TRUE,11/22/22 11:29,R_1FQyDh6BzUhKcm1,,,,,28.2534,-81.6421,anonymous,EN,1,,0,0,,2.293,9.22,10.011,6,35-44 years old,Female,Married,"$50,000-$74,999",Florida,1.864,16.681,17.471,5,Yes,Cats,I will adopt a dog,Small (Less than 30 lbs.),,,,,,,,,,,,,,,0,0,51.792,0,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","Labrador Retriever,German Shepherd",2,,,,1,,,2,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,6.331,15.944,16.574,8,10 (high),10 (high),10 (high),10 (high),,,,,,,,,231822,231822,No,Yes,Traditional Shelter,Traditional Shelter,Traditional Shelter,Traditional Shelter
